method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
ILP,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I1",819806.0,819867.0,5.0,11.646903038024902,0.0074402311594441,,,
MILP,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I1",819801.0,819875.0,11.0,55.56239914894104,0.0090257661228845,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I1",,,,12.348688840866089,,801733.0,4.898189067840576,7.450499773025513
ILP,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I2",828021.7217391306,828066.0,5.0,45.73584508895874,0.0053471898217581,,,
MILP,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I2",828020.943661972,828095.0,4.0,10.898223876953123,0.0089429761112011,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I2",,,,8.16529393196106,,805504.0,3.69712495803833,4.4681689739227295
ILP,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I0",147302.0,147302.0,13.0,6.687690019607544,0.0,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I0",147302.0,147302.0,12.0,2.3232030868530273,0.0,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I0",,,,2.344904899597168,,164928.0,2.120116949081421,0.224787950515747
ILP,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I1",147839.0,147839.0,14.0,8.124042987823486,0.0,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I1",147831.7035881435,147839.0,18.0,4.681234836578369,0.004935376900895,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I1",,,,2.9732859134674072,,165758.0,2.7924060821533203,0.1808798313140869
ILP,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I2",144857.0,144857.0,21.0,11.997061967849731,0.0,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I2",144850.3333333333,144857.0,18.0,13.379199981689451,0.0046022399101776,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0001P(25, 200)I2",,,,3.2944560050964355,,163141.0,2.5865390300750732,0.7079169750213623
ILP,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I0",327413.0,327437.0,10.0,8.78614616394043,0.0073296542541007,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I0",327424.0,327424.0,15.0,10.506188869476318,0.0,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I0",,,,3.000239849090576,,335216.0,2.151555061340332,0.8486847877502441
ILP,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I1",320034.0,320052.0,3.0,2.084141969680786,0.005624086086011,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I1",320045.5,320052.0,14.0,15.220355033874512,0.0020309199755039,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I1",,,,2.078914165496826,,329484.0,1.321953058242798,0.7569611072540283
ILP,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I2",321893.0,321913.0,6.0,1.6655550003051758,0.0062128587537626,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I2",321910.2,321913.0,27.0,17.899281978607178,0.0008698002255231,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0002P(25, 200)I2",,,,1.912881851196289,,328505.0,1.6441950798034668,0.2686867713928222
ILP,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I0",507129.0,507129.0,12.0,7.677064895629883,0.0,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I0",507097.1428571428,507129.0,16.0,5.652161121368408,0.0062818617860973,,,
