method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(100, 200)I2",,,,5.562368869781494,,145027.0,5.5383570194244385,0.0240118503570556
ILP,100,0.2,"RNDN100D0.2R0.001P(25, 125)I0",112966.0,112966.0,7.0,1.197710037231445,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(25, 125)I0",112966.0,112966.0,10.0,0.7277929782867432,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(25, 125)I0",,,,1.371507167816162,,120594.0,1.33943510055542,0.0320720672607421
ILP,100,0.2,"RNDN100D0.2R0.001P(25, 125)I1",110615.0,110615.0,11.0,1.4461491107940674,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(25, 125)I1",110615.0,110615.0,12.0,1.5103399753570557,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(25, 125)I1",,,,1.320145845413208,,118869.0,1.2664270401000977,0.0537188053131103
ILP,100,0.2,"RNDN100D0.2R0.001P(25, 125)I2",114030.0,114030.0,11.0,1.1929011344909668,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(25, 125)I2",114022.375,114030.0,7.0,0.6304759979248047,0.006686836797334,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(25, 125)I2",,,,0.9907660484313964,,121980.0,0.9307677745819092,0.0599982738494873
ILP,100,0.2,"RNDN100D0.2R0.001P(50, 150)I0",150709.0,150709.0,7.0,1.8974850177764893,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(50, 150)I0",150709.0,150709.0,17.0,1.6300339698791504,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(50, 150)I0",,,,1.7549798488616943,,159646.0,1.717858076095581,0.0371217727661132
ILP,100,0.2,"RNDN100D0.2R0.001P(50, 150)I1",149552.0,149552.0,13.0,2.2949299812316895,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(50, 150)I1",149552.0,149552.0,16.0,1.9776670932769775,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(50, 150)I1",,,,1.6895010471343994,,160509.0,1.643233060836792,0.0462679862976074
ILP,100,0.2,"RNDN100D0.2R0.001P(50, 150)I2",153318.0,153318.0,10.0,0.8406178951263428,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(50, 150)I2",153318.0,153318.0,13.0,0.9971160888671876,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(50, 150)I2",,,,1.3870527744293213,,161544.0,1.3808398246765137,0.0062129497528076
ILP,100,0.2,"RNDN100D0.2R0.001P(75, 175)I0",188746.0,188746.0,1.0,0.2104120254516601,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(75, 175)I0",188746.0,188746.0,1.0,0.0734639167785644,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(75, 175)I0",,,,0.1969592571258545,,201081.0,0.1836590766906738,0.0133001804351806
ILP,100,0.2,"RNDN100D0.2R0.001P(75, 175)I1",188228.0,188228.0,14.0,2.8408138751983643,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(75, 175)I1",188227.99999999997,188228.0,13.0,1.1745789051055908,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(75, 175)I1",,,,1.8223721981048584,,200496.0,1.7195560932159424,0.102816104888916
ILP,100,0.2,"RNDN100D0.2R0.001P(75, 175)I2",188240.0,188240.0,9.0,1.0403339862823486,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(75, 175)I2",188240.0,188240.0,17.0,1.1891140937805176,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(75, 175)I2",,,,0.8849239349365234,,203275.0,0.8607010841369629,0.0242228507995605
ILP,100,0.2,"RNDN100D0.2R0.001P(100, 200)I0",229241.0,229241.0,11.0,1.2292330265045166,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(100, 200)I0",229225.0625,229241.0,14.0,1.057260036468506,0.0069522903843553,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(100, 200)I0",,,,1.280020236968994,,242289.0,1.2130541801452637,0.0669660568237304
ILP,100,0.2,"RNDN100D0.2R0.001P(100, 200)I1",226647.0,226647.0,7.0,1.3406379222869873,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(100, 200)I1",226646.99999999997,226647.0,14.0,2.17659592628479,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(100, 200)I1",,,,1.8810291290283203,,242734.0,1.8702549934387207,0.0107741355895996
ILP,100,0.2,"RNDN100D0.2R0.001P(100, 200)I2",227023.0,227023.0,4.0,0.8219099044799805,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.001P(100, 200)I2",227023.0,227023.0,9.0,1.1771240234375,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.001P(100, 200)I2",,,,1.450572490692139,,243180.0,1.3623607158660889,0.0882117748260498
ILP,100,0.2,"RNDN100D0.2R0.002P(25, 125)I0",238913.0,238913.0,9.0,6.339184999465942,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(25, 125)I0",238894.6332518338,238913.0,20.0,3.56660795211792,0.0076876302947986,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(25, 125)I0",,,,3.9926388263702393,,242797.0,3.950756072998047,0.0418827533721923
ILP,100,0.2,"RNDN100D0.2R0.002P(25, 125)I1",236757.0,236762.0,15.0,6.3558900356292725,0.0021118253773831,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(25, 125)I1",236762.0,236762.0,20.0,5.424609184265137,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(25, 125)I1",,,,4.551290035247803,,241116.0,4.45768404006958,0.0936059951782226
ILP,100,0.2,"RNDN100D0.2R0.002P(25, 125)I2",236585.0,236589.0,26.0,9.790918111801147,0.0016906956790045,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(25, 125)I2",236583.18153846153,236589.0,26.0,5.769288778305054,0.002459311945385,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(25, 125)I2",,,,4.040652751922607,,241264.0,3.973734855651855,0.0669178962707519
ILP,100,0.2,"RNDN100D0.2R0.002P(50, 150)I0",318106.0,318106.0,15.0,5.485584020614624,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(50, 150)I0",318106.0,318106.0,19.0,3.690030097961426,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(50, 150)I0",,,,3.824978828430176,,324151.0,3.7606468200683594,0.0643320083618164
ILP,100,0.2,"RNDN100D0.2R0.002P(50, 150)I1",320704.0,320705.0,10.0,4.249303102493286,0.000311813036903,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(50, 150)I1",320673.8,320705.0,16.0,1.7162790298461914,0.0097285667513795,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(50, 150)I1",,,,2.347956895828247,,326364.0,2.3128089904785156,0.0351479053497314
ILP,100,0.2,"RNDN100D0.2R0.002P(50, 150)I2",320665.0,320665.0,13.0,6.107290983200073,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(50, 150)I2",320665.0,320665.0,18.0,3.016167163848877,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(50, 150)I2",,,,4.942232131958008,,326119.0,4.862684011459351,0.0795481204986572
ILP,100,0.2,"RNDN100D0.2R0.002P(75, 175)I0",400453.0,400453.0,23.0,10.852660179138184,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(75, 175)I0",400453.0,400453.0,19.0,3.880023956298828,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(75, 175)I0",,,,5.8852219581604,,405021.0,5.7842090129852295,0.1010129451751709
